model,season,n_test,event_rate,f1_score,balanced_accuracy,precision,recall
Logistic Regression,Winter,3600,0.3511111111111111,0.8426150121065376,0.8942609892491764,0.7486170866625691,0.9636075949367089
Logistic Regression,Spring,4416,0.12884963768115942,0.6553245116572148,0.8922162431822116,0.5108055009823183,0.9138840070298769
Logistic Regression,Summer,4416,0.051856884057971016,0.48693586698337293,0.8988760177843043,0.33442088091353994,0.8951965065502183
Logistic Regression,Autumn,2880,0.1673611111111111,0.7156549520766773,0.8975910077208185,0.5818181818181818,0.9294605809128631
Linear SVM,Winter,3600,0.3511111111111111,0.8414507772020725,0.8934048248656148,0.7467811158798283,0.9636075949367089
Linear SVM,Spring,4416,0.12884963768115942,0.6488169364881694,0.8907554924911247,0.502410800385728,0.9156414762741653
Linear SVM,Summer,4416,0.051856884057971016,0.47897196261682246,0.8972041763704042,0.3269537480063796,0.8951965065502183
Linear SVM,Autumn,2880,0.1673611111111111,0.7136075949367089,0.8988264771126699,0.5767263427109974,0.9356846473029046
Random Forest,Winter,3600,0.3511111111111111,0.96,0.9728709684411305,0.9427917620137299,0.9778481012658228
Random Forest,Spring,4416,0.12884963768115942,0.8506645817044566,0.9564563810021549,0.7661971830985915,0.9560632688927944
Random Forest,Summer,4416,0.051856884057971016,0.6953528399311532,0.923135448356996,0.5738636363636364,0.8820960698689956
Random Forest,Autumn,2880,0.1673611111111111,0.8682464454976303,0.951125419177115,0.7993019197207679,0.950207468879668
Histogram Gradient Boosting,Winter,3600,0.3511111111111111,0.9658153241650295,0.9750249263048378,0.9594067135050741,0.9723101265822784
Histogram Gradient Boosting,Spring,4416,0.12884963768115942,0.8473413379073756,0.9207078484912581,0.8274706867671692,0.8681898066783831
Histogram Gradient Boosting,Summer,4416,0.051856884057971016,0.7386363636363636,0.9133447987793367,0.6521739130434783,0.851528384279476
Histogram Gradient Boosting,Autumn,2880,0.1673611111111111,0.8644906033630069,0.9341368498645137,0.8260869565217391,0.9066390041493776
Neural Network,Winter,3600,0.3511111111111111,0.9569680221081721,0.967230037281082,0.9550827423167849,0.9588607594936709
Neural Network,Spring,4416,0.12884963768115942,0.8581255374032674,0.9261412928523036,0.8400673400673401,0.8769771528998243
Neural Network,Summer,4416,0.051856884057971016,0.749498997995992,0.8983853119918901,0.6925925925925925,0.8165938864628821
Neural Network,Autumn,2880,0.1673611111111111,0.8623853211009175,0.9229501417156067,0.8476953907815631,0.8775933609958506
