model,scenario,training_energy_wh_proxy,carbon_intensity_proxy_g_per_kwh,training_carbon_mgco2e_proxy,reduction_vs_random_percent
Histogram Gradient Boosting,Green-window scheduling (lowest decile),0.012678718692499159,354.1318829932365,4.489938524516273,31.886186758418738
Histogram Gradient Boosting,Random-hour scheduling (training mean),0.012678718692499159,519.9119916208869,6.5918178866182044,0.0
Histogram Gradient Boosting,Carbon-intensive scheduling (highest decile),0.012678718692499159,626.7958325050646,7.9469680379625345,-20.558064173698856
Neural Network,Green-window scheduling (lowest decile),0.05470414552750128,354.1318829932365,19.372482063190066,31.886186758418738
Neural Network,Random-hour scheduling (training mean),0.05470414552750128,519.9119916208869,28.441341251122022,0.0
Neural Network,Carbon-intensive scheduling (highest decile),0.05470414552750128,626.7958325050646,34.288330437388375,-20.55806417369886
Random Forest,Green-window scheduling (lowest decile),0.021169459467501494,354.1318829932365,7.496780543175301,31.88618675841874
Random Forest,Random-hour scheduling (training mean),0.021169459467501494,519.9119916208869,11.00625583328634,0.0
Random Forest,Carbon-intensive scheduling (highest decile),0.021169459467501494,626.7958325050646,13.26892897061482,-20.558064173698845
Logistic Regression,Green-window scheduling (lowest decile),0.009726171892499452,354.1318829932365,3.4443475666067216,31.88618675841873
Logistic Regression,Random-hour scheduling (training mean),0.009726171892499452,519.9119916208869,5.05675339947648,0.0
Logistic Regression,Carbon-intensive scheduling (highest decile),0.009726171892499452,626.7958325050646,6.096324008446554,-20.558064173698867
Linear SVM,Green-window scheduling (lowest decile),0.001757915704999391,354.1318829932365,0.6225339987548172,31.886186758418738
Linear SVM,Random-hour scheduling (training mean),0.001757915704999391,519.9119916208869,0.9139614552878688,0.0
Linear SVM,Carbon-intensive scheduling (highest decile),0.001757915704999391,626.7958325050646,1.1018542377888207,-20.55806417369885
